,windBearing
1969-12-31 16:11:42,301.0
1969-12-31 16:11:43,316.0
1969-12-31 16:11:44,296.0
1969-12-31 16:11:45,302.0
1969-12-31 16:11:46,306.0
1969-12-31 16:11:47,301.0
1969-12-31 16:11:48,323.0
1969-12-31 16:11:49,317.0
1969-12-31 16:11:50,298.0
1969-12-31 16:11:51,297.0
1969-12-31 16:11:52,286.0
1969-12-31 16:11:53,288.0
1969-12-31 16:11:54,282.0
1969-12-31 16:11:55,290.0
1969-12-31 16:11:56,294.0
1969-12-31 16:11:57,282.0
1969-12-31 16:11:58,309.0
1969-12-31 16:11:59,303.0
1969-12-31 16:12:00,300.0
1969-12-31 16:12:01,313.0
1969-12-31 16:12:02,306.0
1969-12-31 16:12:03,299.0
1969-12-31 16:12:04,296.0
1969-12-31 16:12:05,293.0
1969-12-31 16:12:06,297.0
1969-12-31 16:12:07,289.0
1969-12-31 16:12:08,300.0
1969-12-31 16:12:09,311.0
1969-12-31 16:12:10,315.0
1969-12-31 16:12:11,312.0
1969-12-31 16:12:12,298.0
1969-12-31 16:12:13,298.0
1969-12-31 16:12:14,294.0
1969-12-31 16:12:15,292.0
1969-12-31 16:12:16,292.0
1969-12-31 16:12:17,290.0
1969-12-31 16:12:18,293.0
1969-12-31 16:12:19,293.0
1969-12-31 16:12:20,293.0
1969-12-31 16:12:21,288.0
1969-12-31 16:12:22,304.0
1969-12-31 16:12:23,304.0
1969-12-31 16:12:24,301.0
1969-12-31 16:12:25,303.0
1969-12-31 16:12:26,289.0
1969-12-31 16:12:27,301.0
1969-12-31 16:12:28,302.0
1969-12-31 16:12:29,294.0
1969-12-31 16:12:30,294.0
1969-12-31 16:12:31,304.0
1969-12-31 16:12:32,294.0
1969-12-31 16:12:33,292.0
1969-12-31 16:12:34,301.0
1969-12-31 16:12:35,292.0
1969-12-31 16:12:36,298.0
1969-12-31 16:12:37,301.0
1969-12-31 16:12:38,294.0
1969-12-31 16:12:39,288.0
1969-12-31 16:12:40,285.0
1969-12-31 16:12:41,284.0
1969-12-31 16:12:42,296.0
1969-12-31 16:12:43,286.0
1969-12-31 16:12:44,294.0
1969-12-31 16:12:45,287.0
1969-12-31 16:12:46,284.0
1969-12-31 16:12:47,291.0
1969-12-31 16:12:48,294.0
1969-12-31 16:12:49,291.0
1969-12-31 16:12:50,299.0
1969-12-31 16:12:51,297.0
1969-12-31 16:12:52,285.0
1969-12-31 16:12:53,280.0
1969-12-31 16:12:54,284.0
1969-12-31 16:12:55,263.0
1969-12-31 16:12:56,271.0
1969-12-31 16:12:57,259.0
1969-12-31 16:12:58,276.0
1969-12-31 16:12:59,272.0
1969-12-31 16:13:00,263.0
1969-12-31 16:13:01,276.0
1969-12-31 16:13:02,261.0
1969-12-31 16:13:03,277.0
1969-12-31 16:13:04,268.0
1969-12-31 16:13:05,267.0
1969-12-31 16:13:06,266.0
1969-12-31 16:13:07,256.0
1969-12-31 16:13:08,250.0
1969-12-31 16:13:09,252.0
1969-12-31 16:13:10,252.0
1969-12-31 16:13:11,260.0
1969-12-31 16:13:12,253.0
1969-12-31 16:13:13,247.0
1969-12-31 16:13:14,246.0
1969-12-31 16:13:15,237.0
1969-12-31 16:13:16,234.0
1969-12-31 16:13:17,233.0
1969-12-31 16:13:18,234.0
1969-12-31 16:13:19,217.0
1969-12-31 16:13:20,240.0
1969-12-31 16:13:21,249.0
1969-12-31 16:13:22,246.0
1969-12-31 16:13:23,253.0
1969-12-31 16:13:24,258.0
1969-12-31 16:13:25,252.0
1969-12-31 16:13:26,246.0
1969-12-31 16:13:27,251.0
1969-12-31 16:13:28,264.0
1969-12-31 16:13:29,261.0
1969-12-31 16:13:30,260.0
1969-12-31 16:13:31,262.0
1969-12-31 16:13:32,263.0
1969-12-31 16:13:33,262.0
1969-12-31 16:13:34,272.0
1969-12-31 16:13:35,245.0
1969-12-31 16:13:36,258.0
1969-12-31 16:13:37,261.0
1969-12-31 16:13:38,250.0
1969-12-31 16:13:39,259.0
1969-12-31 16:13:40,270.0
